"Информация о тендере","Номер тендера","Регион","Место поставки","Заказчик","ИНН","Тип закупки","Способ размещения","Дата публикации","Дата окончания (МСК)","Начальная цена, руб","Обеспечение контракта, руб","Аванс","Ссылка на источник","Отрасли"
"Строительство пристройки МОУ СОШ с.Мизино-Лапшиновка (поставка с монтажом лифта пассажирского)","60675669","Саратовская область","Татищевский район, село Мизино-Лапшиновка","МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА С.МИЗИНО-ЛАПШИНОВКА""","6434010394, 6434911494","44-ФЗ","Электронные аукционы","06.06.2022","15.06.2022 8:00","4,304,706","5%","100%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0160300015322000035","Полное строительство и реконструкция зданий и сооружений"
"Выполнение работ по строительству объекта Строительство ВПС-21","60674988","Воронежская область","г. Воронеж","УПРАВЛЕНИЕ СТРОИТЕЛЬНОЙ ПОЛИТИКИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ГОРОД ВОРОНЕЖ","3664122837","44-ФЗ","Электронные аукционы","06.06.2022","22.06.2022 9:00","1,232,344,642","123,234,464","30%","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0131300000622001220","Полное строительство и реконструкция зданий и сооружений"
"Выполнение работ по объекту: ""г. Барнаул, строительство хирургического корпуса на 165 коек КГБУЗ ""Алтайский краевой клинический центр охраны материнства и детства"", расположенного по адресу: ул. Гущина, д.179""","60674984","Алтайский край","Барнаул","КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЕДИНЫЙ ЗАКАЗЧИК КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА АЛТАЙСКОГО КРАЯ""","2221217157","44-ФЗ","Электронные аукционы","06.06.2022","22.06.2022 5:00","2,786,285,747","278,628,574","50%","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0817200000322007031","Полное строительство и реконструкция зданий и сооружений"
"Выполнение работ по строительству объекта Социокультурный центр в д. Денисовка МО ГО Усинск","60674798","Коми республика","г. Усинск, деревня Денисовка","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ЦЕНТРАЛИЗОВАННАЯ КЛУБНАЯ СИСТЕМА""","1106025938, 1106024846","44-ФЗ","Электронные аукционы","06.06.2022","15.06.2022 8:30","60,000,000","3,000,000","50%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0307300041522000070","Полное строительство и реконструкция зданий и сооружений"
"Приобретение в муниципальную собственность жилых помещений путем долевого участия в строительстве многоквартирного дома на территории города Кстово Кстовского муниципального района в целях реализации региональной адресной программы ""Переселение граждан из аварийного жилого фонда на территории Нижегородской области на 2019-2023 годы""","60672969","Нижегородская область","Кстово","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАТИВНО-ТЕХНИЧЕСКОЕ ОБЕСПЕЧЕНИЕ КСТОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","06.06.2022","14.06.2022 10:00","8,458,710","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0332300330622000191","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность жилых помещений путем долевого участия в строительстве многоквартирного дома на территории города Кстово Кстовского муниципального района в целях реализации региональной адресной программы ""Переселение граждан из аварийного жилого фонда на территории Нижегородской области на 2019-2023 годы""","60672716","Нижегородская область","г. Кстово","АДМИНИСТРАЦИЯ КСТОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА","5250000838, 5250034805","44-ФЗ","Электронные аукционы","06.06.2022","14.06.2022 10:00","18,714,896","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0332300330622000190","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность жилых помещений путем долевого участия в строительстве многоквартирного дома на территории города Кстово Кстовского муниципального района в целях реализации региональной адресной программы ""Переселение граждан из аварийного жилого фонда на территории Нижегородской области на 2019-2023 годы""","60669886","Нижегородская область","Кстово","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАТИВНО-ТЕХНИЧЕСКОЕ ОБЕСПЕЧЕНИЕ КСТОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","06.06.2022","14.06.2022 10:00","19,363,516","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0332300330622000189","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Строительство жилых домов в с. Доброе Добровского муниципального района Липецкой области","60667837","Липецкая область","Добровский район, село Доброе","АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ДОБРОВСКИЙ СЕЛЬСОВЕТ ДОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ","4813007345, 4805017029","44-ФЗ","Электронные аукционы","06.06.2022","14.06.2022 9:00","20,591,146","1,029,557","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0846600001222000049","Полное строительство и реконструкция зданий и сооружений"
"Приобретение жилых помещений путем инвестирования в строительство на территории г. Нижнего Тагила Свердловской области для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1296-ПП ""Об утверждении государственной программы Свердловской области ""Реализация основных направлений государственной политики в строительном комплексе Свердловской области до 2024 года","60666093","Свердловская область","г. Нижний Тагил","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","6662081066","44-ФЗ","Запросы котировок и предложений","06.06.2022","15.06.2022 16:00","","30%","","https://zakupki.gov.ru/epz/pricereq/card/common-info.html?priceRequestId=977424","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение жилых помещений путем инвестирования в строительство на территории г. Нижнего Тагила Свердловской области для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1296-ПП ""Об утверждении государственной программы Свердловской области ""Реализация основных направлений государственной политики в строительном комплексе Свердловской области до 2024 года","60666065","Свердловская область","г. Нижний Тагил","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","6662081066","44-ФЗ","Запросы котировок и предложений","06.06.2022","15.06.2022 16:00","","30%","","https://zakupki.gov.ru/epz/pricereq/card/common-info.html?priceRequestId=977430","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
