Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
Выполнение работ по ограничению доступа в жилые помещения муниципального жилищного фонда (г. Петропавловск-Камчатский, ул. Рябиковская, д.9);'223410115660441010100101260014399244';;;545318.40;RUB;NA;NA;УПРАВЛЕНИЕ КОММУНАЛЬНОГО ХОЗЯЙСТВА И ЖИЛИЩНОГО ФОНДА АДМИНИСТРАЦИИ ПЕТРОПАВЛОВСК-КАМЧАТСКОГО ГОРОДСКОГО ОКРУГА-МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ;УПРАВЛЕНИЕ ОРГАНИЗАЦИИ МУНИЦИПАЛЬНЫХ ЗАКУПОК АДМИНИСТРАЦИИ ПЕТРОПАВЛОВСК-КАМЧАТСКОГО ГОРОДСКОГО ОКРУГА - МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ;24.05.2022;03.06.2022;NA
Поставка детского питания;'222410001344141010100100730011086611';;;546250.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";25.05.2022;02.06.2022;NA
Поставка лекарственных препаратов в целях обеспечения отдельных категорий граждан (региональные льготники) ;'222410104203641010100101770010000323';;;972405.72;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 1""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 1""";25.05.2022;02.06.2022;NA
Поставка облучателей-рециркуляторов ультрафиолетовых бактерицидных передвижных для нужд Управления Роспотребнадзора по Камчатскому краю;'221410109980441010100100570573250244';;;77280.00;RUB;NA;NA;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ПО КАМЧАТСКОМУ КРАЮ;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ПО КАМЧАТСКОМУ КРАЮ;26.05.2022;03.06.2022;NA
Услуги по индивидуальному пошиву (изготовлению) форменной одежды для федеральных государственных гражданских служащих Управления Роспотребнадзора по Камчатскому краю;'221410109980441010100100560561413244';;;351813.70;RUB;NA;NA;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ПО КАМЧАТСКОМУ КРАЮ;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ПО КАМЧАТСКОМУ КРАЮ;26.05.2022;03.06.2022;NA
Поставка лекарственных препаратов в целях обеспечения отдельных категорий граждан (региональные льготники) ;'222410104203641010100101760010000323';;;820105.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 1""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 1""";25.05.2022;02.06.2022;NA
Поставка лекарственных препаратов в целях обеспечения отдельных категорий граждан (региональные льготники);'222410104203641010100101750010000323';;;992559.25;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 1""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 1""";25.05.2022;02.06.2022;NA
"Выполнение работ по корректировке градостроительной документации поселений Карагинского муниципального района Камчатского края: подготовка проектов внесения изменений в Генеральные планы и Правила землепользования и застройки сельских поселений: ""с.Ивашка"", ""с.Ильпырское"", ""с.Тымлат"", подготовка проекта внесения изменений в Правила землепользования и застройки сельского поселения ""п.Оссора""";'223820300067482030100100720017111244';;;2020000.00;RUB;NA;NA;АДМИНИСТРАЦИЯ КАРАГИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;АДМИНИСТРАЦИЯ КАРАГИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;26.05.2022;06.06.2022;NA
ДТО_вещ. Поставка рюкзаков рейдовых и сумок для переноски форменной одежды ;'221650115416165010100101081011512244';;;332666.70;RUB;NA;NA;ГЛАВНОЕ УПРАВЛЕНИЕ  МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО САХАЛИНСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ  МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО САХАЛИНСКОЙ ОБЛАСТИ;26.05.2022;06.06.2022;NA
Поставка лекарственного препарата для лечения больных туберкулезом ;'222410001344141010100100930012120612';;;1077450.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";26.05.2022;03.06.2022;NA
